customer_id,age,gender,location,Purchase_history,loyality_program,product_purchased,browsing_history,search_queries,social_media_active,email_open_rate,avg_order_value
105,58,Male,Urban,208,0,B,6,18,0,0.75,51.93
106,46,Male,Rural,965,1,C,21,17,2,0.14,19.0
107,32,Famale,Urban,283,0,A,49,10,2,0.62,55.74
108,18,Male,Rural,467,1,C,41,2,0,0.08,75.63
109,42,Famale,Rural,297,1,A,46,11,0,0.69,168.3
110,24,Male,Urban,470,1,A,48,3,2,0.38,79.61
111,26,Male,Rural,472,1,C,21,2,2,0.13,153.38
112,41,Male,Urban,596,1,B,42,9,1,0.86,93.49
113,18,Male,Urban,698,1,A,39,19,0,0.61,159.12
114,25,Male,Rural,300,0,A,43,2,0,0.35,195.49
115,41,Famale,Urban,948,0,C,34,19,1,0.03,55.57
116,28,Famale,Urban,608,1,B,10,2,2,0.54,173.84
117,34,Famale,Urban,421,0,B,8,15,2,0.92,128.15
118,25,Famale,Urban,374,1,C,41,3,0,0.6,165.29
119,52,Famale,Urban,310,0,B,39,5,1,0.97,133.8
120,52,Famale,Urban,603,0,C,13,11,2,0.14,90.55
121,50,Male,Rural,217,0,C,10,7,0,0.57,53.33
122,22,Male,Urban,802,1,C,17,6,2,0.8,23.31
123,59,Famale,Rural,653,0,A,26,14,2,0.53,111.75
124,56,Famale,Rural,141,1,A,32,1,2,0.09,198.16
125,58,Male,Urban,414,1,A,34,17,0,0.58,150.23
126,45,Male,Rural,887,1,C,40,17,1,0.61,72.2
127,24,Male,Rural,428,0,A,6,14,1,0.73,167.17
128,26,Famale,Urban,116,0,A,40,10,2,0.76,156.11
129,25,Famale,Urban,382,0,A,12,8,1,0.77,63.51
130,29,Famale,Urban,357,1,C,49,8,2,0.66,12.72
131,51,Male,Rural,674,1,C,46,14,0,0.22,32.45
132,50,Male,Rural,673,0,C,13,7,0,0.4,176.69
133,40,Famale,Urban,711,1,A,5,6,0,0.78,168.95
134,41,Famale,Urban,118,0,B,17,4,2,0.95,66.09
135,54,Male,Rural,628,0,A,19,1,1,0.08,64.19
136,52,Male,Rural,936,0,A,36,15,0,0.54,160.64
137,57,Male,Rural,522,0,C,38,15,2,0.31,188.17
138,39,Male,Rural,565,1,C,47,1,1,0.23,158.04
139,44,Famale,Urban,472,0,A,35,3,1,0.51,125.06
140,52,Male,Rural,857,0,A,18,5,1,0.61,56.11
141,18,Male,Rural,862,0,B,18,5,2,0.01,109.89
142,52,Male,Rural,180,0,B,33,4,2,0.78,54.37
143,54,Famale,Rural,650,0,C,23,17,2,0.82,163.52
144,31,Famale,Urban,647,0,B,31,14,0,0.97,83.52
145,20,Male,Urban,523,0,B,13,8,2,0.18,168.4
146,18,Male,Rural,528,1,C,41,2,0,0.59,82.51
147,22,Male,Rural,487,1,B,41,8,0,0.43,166.59
148,43,Famale,Urban,808,1,A,47,1,0,0.33,73.33
149,31,Famale,Urban,769,1,B,32,4,2,0.57,93.63
150,56,Famale,Rural,303,0,C,28,19,0,0.78,126.94
151,44,Male,Rural,295,1,A,32,5,2,0.02,23.35
152,26,Famale,Urban,827,1,B,40,5,2,0.97,190.16
153,32,Male,Urban,384,1,A,22,19,0,0.81,118.99
154,32,Male,Urban,295,0,A,29,12,0,0.75,106.49
155,43,Male,Urban,406,1,B,39,1,0,0.76,169.48
156,59,Famale,Urban,763,1,B,8,7,2,0.39,174.49
157,30,Male,Urban,113,0,C,18,17,2,0.75,109.23
158,49,Famale,Rural,936,1,C,43,2,0,0.39,186.18
159,56,Famale,Urban,245,0,A,30,11,0,0.9,22.3
160,49,Male,Urban,156,1,C,12,7,1,0.18,31.51
161,21,Male,Urban,822,0,A,28,17,0,0.29,123.39
162,47,Famale,Urban,879,1,A,20,3,1,0.55,77.27
163,54,Male,Rural,309,1,C,24,6,1,0.32,98.2
164,40,Famale,Rural,628,1,C,19,11,2,0.42,72.34
165,56,Male,Urban,897,0,C,11,18,2,0.49,86.9
166,32,Famale,Rural,443,1,B,21,18,1,0.86,166.3
167,46,Famale,Rural,814,0,A,26,10,1,0.52,122.76
168,53,Famale,Rural,710,0,A,26,5,0,0.36,199.5
169,30,Famale,Rural,378,0,A,16,15,1,0.25,159.51
170,49,Male,Rural,308,0,C,22,4,0,0.41,62.0
171,24,Male,Rural,740,1,C,19,1,2,0.52,60.23
172,39,Famale,Urban,434,1,C,41,15,0,0.75,73.82
173,45,Famale,Urban,387,1,C,20,17,2,0.12,170.22
174,19,Male,Urban,351,0,C,9,19,1,0.22,15.18
175,59,Male,Urban,364,1,B,6,14,1,0.38,53.73
176,23,Male,Urban,370,0,C,32,19,1,0.36,181.93
177,45,Male,Rural,799,0,A,45,18,0,0.39,131.58
178,45,Male,Urban,518,0,C,31,2,2,0.79,53.1
179,37,Male,Urban,825,1,A,35,6,2,0.32,51.64
180,47,Famale,Rural,894,1,C,45,13,2,0.5,173.9
181,28,Male,Rural,310,0,C,40,17,2,0.62,179.81
182,45,Male,Urban,464,1,A,47,6,2,0.23,58.66
183,42,Famale,Rural,175,1,A,5,5,0,0.72,89.9
184,56,Male,Rural,759,0,A,33,7,2,0.55,168.57
185,50,Male,Rural,420,0,A,5,1,1,0.45,156.49
186,18,Male,Rural,824,1,B,12,13,2,0.81,164.64
187,44,Male,Urban,532,0,A,20,19,1,0.24,108.5
188,30,Male,Rural,208,0,C,32,1,0,0.88,183.19
189,58,Famale,Urban,740,1,C,26,13,0,0.56,71.93
190,20,Male,Urban,621,1,B,22,11,1,0.61,39.77
191,56,Famale,Rural,146,0,A,26,7,2,0.88,144.66
192,23,Famale,Rural,478,1,C,45,3,0,0.82,112.48
193,25,Male,Rural,926,0,B,16,1,0,0.6,172.37
194,44,Famale,Urban,195,0,C,23,8,0,0.75,25.42
195,26,Male,Rural,202,1,B,29,17,2,0.43,170.3
196,54,Famale,Rural,991,0,B,9,13,1,0.55,65.73
197,50,Famale,Rural,953,0,A,38,14,1,0.06,134.42
198,59,Male,Rural,245,0,B,43,5,2,0.09,17.62
199,41,Male,Rural,979,1,C,14,6,0,0.83,125.82
200,32,Male,Urban,126,1,C,11,6,2,0.06,146.28
201,49,Male,Rural,831,1,A,41,8,2,0.17,80.06
202,49,Male,Rural,629,0,A,19,13,1,0.8,50.93
203,41,Famale,Rural,778,0,B,46,18,2,0.0,112.15
204,58,Famale,Urban,181,1,A,28,4,2,0.28,168.31
205,29,Famale,Rural,527,1,C,30,17,0,0.58,71.47
206,56,Famale,Urban,683,1,C,30,5,0,0.6,57.97
207,19,Famale,Urban,921,0,A,30,3,1,0.78,63.0
208,20,Famale,Rural,578,1,A,14,4,0,0.51,190.34
209,54,Famale,Rural,865,0,A,21,5,2,0.51,78.26
210,34,Male,Rural,261,1,B,18,14,2,0.73,10.68
211,19,Male,Urban,938,0,B,6,15,2,0.5,158.52
212,19,Famale,Urban,501,0,C,17,17,1,0.61,142.86
213,45,Famale,Urban,607,1,B,31,6,0,0.9,34.43
214,40,Male,Urban,137,0,B,13,10,2,0.4,197.13
215,54,Male,Urban,610,1,B,11,16,0,0.39,125.53
216,49,Male,Urban,492,0,B,14,17,0,0.0,105.15
217,50,Male,Rural,812,0,C,13,14,0,0.61,82.62
218,18,Famale,Rural,593,1,A,26,12,0,0.03,180.75
219,36,Male,Urban,299,0,C,27,9,1,0.5,56.35
220,19,Famale,Rural,354,1,B,11,15,1,0.8,64.3
221,43,Famale,Rural,278,1,A,13,12,1,0.55,33.26
222,49,Famale,Urban,646,1,A,31,14,2,0.27,154.23
223,23,Male,Urban,693,0,A,28,18,2,0.79,123.15
224,49,Male,Rural,488,0,C,33,6,2,0.27,125.72
225,21,Famale,Urban,497,0,A,21,4,1,0.73,51.51
226,28,Famale,Urban,831,1,C,24,12,0,0.61,133.72
227,34,Famale,Rural,257,1,C,11,13,1,0.17,155.44
228,55,Male,Urban,103,0,B,47,19,2,0.91,78.0
229,41,Famale,Rural,266,0,B,44,13,2,0.2,162.26
230,22,Male,Rural,567,1,A,11,12,0,0.99,76.27
231,51,Famale,Rural,508,0,A,32,3,1,0.01,154.05
232,23,Famale,Rural,511,1,B,23,3,0,0.26,16.41
233,39,Famale,Rural,303,0,C,24,14,1,0.2,114.72
234,28,Male,Urban,293,1,C,48,18,2,0.01,194.21
235,33,Male,Urban,334,0,B,43,19,0,0.73,196.44
236,50,Famale,Urban,817,0,C,44,10,0,0.69,63.53
237,26,Male,Urban,249,1,B,11,17,1,0.79,93.87
238,23,Famale,Rural,258,1,B,10,15,1,0.26,21.97
239,33,Male,Rural,378,1,A,29,19,1,0.44,175.93
240,46,Male,Urban,915,0,A,45,9,2,0.66,118.03
241,20,Male,Rural,503,1,B,17,4,1,0.44,83.17
242,37,Famale,Urban,992,1,A,43,15,2,0.7,31.43
243,53,Male,Urban,777,0,B,44,19,1,0.63,189.89
244,36,Male,Urban,410,1,C,26,16,1,0.11,110.74
245,43,Famale,Rural,167,1,C,21,8,2,0.78,63.76
246,20,Famale,Rural,562,1,C,26,17,1,0.72,76.54
247,36,Famale,Rural,187,0,C,38,1,2,0.66,61.43
248,37,Famale,Rural,316,0,B,12,7,2,0.16,124.34
249,49,Male,Urban,100,0,C,49,18,1,0.27,186.69
250,24,Male,Rural,234,1,C,22,12,1,0.39,172.77
251,58,Male,Rural,796,0,C,28,16,0,0.28,97.47
252,50,Male,Rural,450,1,C,46,1,1,0.23,167.03
253,57,Male,Urban,239,1,B,6,15,0,0.81,90.39
254,56,Famale,Urban,717,1,C,6,7,1,0.64,57.94
255,35,Male,Rural,232,0,A,31,17,2,0.57,196.85
256,57,Male,Rural,719,0,A,18,3,2,0.23,67.74
257,18,Male,Rural,277,1,A,43,11,0,0.92,71.51
258,28,Famale,Rural,909,1,A,16,6,1,0.19,198.04
259,45,Famale,Urban,457,0,A,36,6,0,0.79,35.45
260,42,Male,Rural,479,0,A,32,15,1,0.97,154.5
261,40,Famale,Rural,970,0,B,32,7,1,0.73,187.8
262,48,Famale,Rural,757,1,A,29,11,2,0.99,107.24
263,47,Famale,Urban,549,0,C,8,17,0,0.65,10.48
264,59,Famale,Urban,685,0,A,30,18,2,0.22,81.26
265,52,Famale,Rural,562,0,B,40,19,2,0.2,31.2
266,24,Famale,Rural,207,1,A,7,8,2,0.32,89.08
267,33,Famale,Rural,221,0,C,5,8,0,0.01,160.11
268,43,Male,Rural,116,1,C,21,11,1,0.68,93.36
269,19,Male,Rural,295,1,B,11,3,1,0.27,92.07
270,18,Famale,Urban,426,1,B,9,14,0,0.82,115.79
271,29,Male,Urban,417,0,B,23,9,1,0.36,120.52
272,22,Male,Urban,908,0,B,43,1,0,0.48,172.7
273,54,Famale,Rural,578,0,A,38,1,0,0.97,68.59
274,49,Male,Urban,351,1,A,39,12,1,0.24,166.12
275,26,Famale,Urban,602,0,C,20,11,2,0.72,117.53
276,58,Famale,Urban,218,1,B,44,1,0,0.76,67.1
277,52,Famale,Rural,773,0,B,43,12,0,0.22,66.07
278,36,Male,Rural,809,0,A,31,17,0,0.5,78.62
279,33,Male,Urban,597,0,B,45,15,0,0.35,128.31
280,20,Male,Rural,585,0,C,42,2,1,0.77,53.85
281,37,Male,Urban,144,1,C,29,18,1,0.62,184.86
282,41,Famale,Urban,413,1,B,30,16,0,0.48,119.23
283,50,Famale,Urban,278,1,C,18,4,2,0.78,184.8
284,41,Male,Urban,993,1,C,18,8,1,0.24,18.82
285,28,Famale,Rural,517,0,A,18,2,2,0.75,75.1
286,25,Famale,Rural,655,1,C,29,14,2,0.87,14.33
287,53,Male,Rural,882,1,B,40,15,0,0.88,61.73
288,55,Famale,Rural,177,1,B,8,9,1,0.78,173.78
289,57,Male,Urban,425,0,C,19,2,0,0.41,16.96
290,37,Famale,Rural,789,1,B,36,17,0,0.98,92.87
291,52,Male,Urban,456,1,A,22,10,2,0.38,32.34
292,42,Famale,Rural,515,0,C,18,9,2,0.64,89.2
293,52,Famale,Rural,614,0,C,5,2,2,0.16,169.38
294,42,Male,Rural,313,1,C,46,19,0,0.98,128.38
295,46,Male,Urban,953,1,B,24,17,0,0.7,149.98
296,35,Male,Urban,173,0,B,14,11,0,0.75,76.33
297,35,Male,Urban,662,1,C,14,17,0,0.07,189.44
298,19,Famale,Urban,678,0,B,28,10,0,0.76,144.76
299,52,Famale,Rural,608,1,B,38,18,0,0.77,90.14
300,33,Male,Urban,431,1,C,32,6,0,0.67,91.03
301,58,Famale,Urban,192,1,C,31,16,0,0.29,184.55
302,53,Male,Rural,787,1,B,44,18,1,0.49,119.52
303,50,Male,Rural,756,1,C,5,18,1,0.11,144.21
304,21,Famale,Urban,618,0,C,37,1,1,0.47,89.24
305,50,Famale,Rural,368,0,C,8,3,1,0.24,52.5
306,31,Male,Urban,475,1,C,11,15,0,0.35,147.48
307,38,Male,Rural,933,1,B,13,10,0,0.16,125.49
308,37,Male,Urban,103,1,C,20,5,2,0.23,105.26
309,25,Famale,Urban,237,0,A,9,15,2,0.08,128.56
310,24,Famale,Urban,330,0,C,38,14,1,0.92,49.57
311,20,Famale,Urban,699,0,A,27,15,2,0.53,160.85
312,34,Famale,Urban,628,0,C,47,10,1,0.4,190.15
313,50,Male,Rural,151,0,A,29,9,0,0.54,179.31
314,29,Male,Urban,745,0,A,17,12,0,0.63,71.07
315,39,Male,Urban,822,0,C,28,7,2,0.92,87.14
316,39,Male,Urban,424,0,C,15,5,0,0.18,163.6
317,47,Male,Urban,830,1,C,21,10,0,0.3,123.07
318,55,Male,Urban,816,0,A,41,8,1,0.98,114.1
319,55,Famale,Rural,822,0,B,17,16,2,0.37,186.06
320,25,Famale,Rural,376,0,B,31,12,0,0.02,111.84
321,44,Male,Urban,635,0,C,24,9,2,0.15,107.84
322,44,Male,Rural,585,1,B,37,10,0,0.03,17.98
323,51,Famale,Urban,615,0,B,46,16,1,0.99,23.19
324,38,Famale,Rural,251,1,C,36,10,0,0.28,11.41
325,47,Famale,Rural,582,1,A,12,9,2,0.92,183.52
326,50,Famale,Urban,358,1,C,33,3,2,1.0,87.59
327,45,Male,Rural,423,0,B,44,19,1,0.6,99.03
328,50,Male,Rural,968,0,A,23,11,0,0.03,170.62
329,22,Male,Urban,267,0,B,10,6,1,0.08,125.76
330,36,Male,Urban,787,1,A,48,6,2,0.48,125.81
331,21,Male,Rural,409,1,B,43,15,1,0.41,66.34
332,52,Famale,Rural,902,1,C,45,15,0,0.61,168.44
333,34,Male,Rural,578,1,B,25,13,0,0.44,41.51
334,45,Famale,Urban,155,0,B,26,5,1,0.93,20.1
335,47,Male,Rural,719,0,A,46,14,2,0.53,46.4
336,46,Male,Rural,572,0,B,14,2,2,0.69,60.87
337,23,Male,Rural,395,1,C,14,12,1,0.9,63.64
338,52,Male,Urban,560,1,C,33,14,0,0.15,137.4
339,58,Male,Urban,423,0,C,20,19,0,0.23,51.39
340,54,Famale,Urban,913,0,A,5,15,0,0.11,138.57
341,41,Famale,Urban,945,1,A,21,17,0,0.14,27.32
342,46,Famale,Rural,240,0,B,34,14,2,0.51,37.97
343,48,Male,Urban,766,0,B,30,18,0,0.32,106.68
344,52,Male,Rural,361,1,B,23,5,1,0.42,185.16
345,50,Famale,Rural,884,1,A,25,12,1,0.98,173.32
346,38,Male,Rural,519,1,A,21,10,1,0.16,194.06
347,49,Male,Rural,843,0,B,44,8,1,0.54,133.59
348,40,Famale,Urban,340,1,A,25,6,0,0.1,138.4
349,50,Male,Urban,454,0,A,45,15,2,0.32,128.75
350,20,Famale,Urban,948,0,C,44,12,0,0.53,128.34
351,35,Male,Urban,869,1,C,49,6,2,0.95,37.95
352,42,Famale,Urban,860,0,B,23,12,0,0.39,113.31
353,59,Male,Rural,688,1,B,11,15,2,0.06,83.35
354,48,Male,Urban,279,1,C,21,12,1,0.39,94.08
355,20,Famale,Urban,165,0,A,5,9,1,0.15,109.48
356,57,Male,Urban,919,0,B,41,19,2,0.23,34.4
357,41,Male,Urban,447,1,B,10,2,2,0.62,78.3
358,49,Famale,Rural,270,1,B,30,13,2,0.07,22.06
359,39,Male,Rural,573,1,A,6,13,1,0.46,196.14
360,40,Famale,Rural,633,1,C,36,8,1,0.61,32.52
361,19,Male,Rural,466,1,B,9,13,0,0.42,59.12
362,44,Male,Rural,206,1,C,41,4,2,0.02,179.35
363,59,Male,Urban,538,0,C,35,6,2,0.99,101.71
364,19,Male,Rural,934,0,A,16,6,2,0.37,35.77
365,43,Famale,Rural,326,0,A,39,12,1,0.78,83.0
366,34,Male,Rural,543,0,A,34,12,2,0.33,32.01
367,57,Famale,Urban,541,1,A,10,17,2,0.48,48.04
368,50,Male,Urban,495,0,A,19,7,1,0.39,19.89
369,26,Male,Rural,827,0,A,19,15,2,0.34,93.26
370,56,Male,Urban,680,1,B,20,17,0,0.02,163.26
371,46,Male,Urban,183,0,C,24,10,1,0.36,121.33
372,59,Famale,Rural,714,1,A,17,6,1,0.89,125.21
373,43,Famale,Urban,650,1,B,48,9,1,0.69,48.11
374,52,Famale,Urban,112,1,C,46,15,0,0.15,75.34
375,42,Famale,Urban,908,1,A,35,16,1,0.59,170.6
376,41,Male,Rural,924,1,A,38,8,1,0.89,26.69
377,30,Famale,Rural,792,0,B,33,16,1,0.7,173.01
378,24,Famale,Rural,592,0,C,7,5,1,0.15,101.9
379,53,Male,Urban,367,0,A,13,18,0,0.87,169.06
380,37,Male,Rural,624,1,C,15,14,2,0.3,70.42
381,18,Male,Urban,219,0,B,15,2,2,0.45,74.38
382,25,Male,Urban,452,0,A,29,3,1,0.53,152.8
383,33,Famale,Urban,156,0,C,26,14,0,0.85,159.15
384,31,Famale,Rural,139,0,B,46,7,1,0.93,53.63
385,29,Male,Rural,985,1,B,13,15,2,0.93,194.85
386,40,Male,Rural,435,0,A,24,17,2,0.01,26.05
387,32,Male,Rural,739,1,C,25,1,0,0.92,23.02
388,45,Famale,Urban,272,1,A,14,9,2,0.05,123.15
389,51,Famale,Rural,646,0,A,26,14,1,0.27,147.32
390,19,Male,Urban,358,1,C,33,16,0,0.51,192.57
391,49,Male,Rural,987,1,C,13,13,2,0.48,86.94
392,40,Famale,Rural,616,1,C,9,6,1,0.6,14.81
393,39,Male,Rural,829,1,B,44,1,0,0.48,124.55
394,42,Male,Urban,622,1,B,15,4,1,0.93,65.04
395,39,Famale,Urban,993,1,C,5,3,2,0.24,92.26
396,39,Male,Urban,938,1,B,46,17,1,0.27,102.81
397,59,Famale,Urban,216,0,A,5,2,0,0.92,22.26
398,23,Male,Urban,283,0,C,43,19,1,0.08,102.34
399,32,Male,Rural,973,1,A,9,8,2,0.61,91.0
400,54,Famale,Urban,215,1,C,26,15,0,0.68,145.38
401,50,Famale,Urban,261,0,A,30,6,0,0.51,132.68
402,25,Male,Urban,678,0,C,10,2,2,0.69,45.19
403,22,Famale,Urban,811,0,A,36,15,1,0.17,49.17
404,56,Male,Rural,642,0,C,15,12,1,0.85,57.69
405,21,Male,Urban,686,1,C,14,3,2,0.14,44.0
406,23,Famale,Rural,336,1,B,43,10,0,0.4,134.87
407,49,Male,Rural,938,0,A,38,14,2,0.08,198.94
408,47,Male,Rural,165,0,B,35,14,0,0.55,133.9
409,52,Famale,Urban,169,0,A,16,3,0,0.67,125.27
410,57,Famale,Rural,908,0,B,48,1,1,0.94,87.89
411,33,Male,Urban,546,1,C,20,1,2,0.74,69.39
412,30,Famale,Urban,515,0,B,42,2,0,0.54,183.1
413,59,Famale,Urban,631,0,B,7,19,1,0.93,194.11
414,47,Famale,Urban,540,0,C,6,10,2,0.48,104.39
415,36,Famale,Urban,837,1,B,9,4,2,0.56,65.14
416,34,Male,Rural,563,1,C,15,4,0,0.6,156.32
417,36,Male,Rural,495,1,A,29,13,0,0.41,35.17
418,45,Male,Urban,810,0,B,39,9,0,0.84,155.46
419,43,Famale,Rural,650,0,C,39,7,2,0.19,165.6
420,54,Famale,Urban,756,0,C,26,16,0,0.55,33.73
421,43,Famale,Rural,656,1,B,41,18,2,0.72,195.6
422,40,Famale,Rural,494,1,A,26,3,1,0.9,197.25
423,26,Famale,Rural,425,0,B,15,10,2,0.88,187.98
424,29,Famale,Rural,992,0,C,36,16,0,0.51,104.25
425,18,Famale,Rural,190,1,A,39,3,2,0.64,56.75
426,18,Male,Urban,849,0,B,35,11,0,0.39,120.58
427,51,Male,Urban,169,0,C,49,10,1,0.47,89.79
428,49,Famale,Rural,265,0,B,12,16,0,0.91,49.13
429,42,Famale,Urban,741,1,A,24,8,0,0.93,90.5
430,57,Famale,Rural,313,0,A,46,9,0,0.9,136.14
431,18,Male,Urban,951,0,A,38,15,0,0.14,23.47
432,33,Male,Rural,700,0,A,8,3,0,0.85,73.35
433,56,Famale,Rural,434,0,A,22,4,0,0.95,13.38
434,22,Famale,Rural,863,1,B,8,13,1,0.36,152.4
435,39,Male,Urban,468,1,A,24,12,1,0.52,131.73
436,46,Male,Urban,960,1,A,13,9,2,0.78,21.91
437,20,Male,Rural,683,0,C,20,14,0,0.56,193.3
438,29,Male,Rural,776,1,A,30,19,2,0.99,14.3
439,43,Famale,Urban,148,0,C,42,7,1,0.46,122.09
440,33,Male,Urban,151,1,C,29,16,1,0.71,157.51
441,54,Male,Urban,388,0,C,8,5,0,0.79,159.7
442,39,Famale,Urban,889,1,B,45,10,0,0.49,16.51
443,46,Male,Urban,725,1,B,49,18,2,0.86,182.22
444,31,Male,Rural,338,1,C,45,11,1,0.55,184.51
445,45,Male,Urban,232,0,B,42,7,2,0.41,116.66
446,22,Famale,Rural,885,0,A,23,14,2,0.11,101.6
447,47,Male,Rural,265,0,B,18,18,2,0.39,18.52
448,22,Famale,Urban,473,1,A,25,11,0,0.73,116.77
449,29,Famale,Urban,472,0,A,19,12,1,0.92,87.78
450,33,Male,Rural,904,0,B,7,18,2,0.25,156.83
451,43,Male,Urban,577,0,B,41,2,1,0.36,86.74
452,43,Male,Rural,854,0,C,20,1,1,0.15,139.88
453,38,Male,Urban,578,0,B,18,10,2,0.69,29.27
454,56,Famale,Urban,931,0,B,13,1,2,0.96,35.26
455,53,Male,Urban,749,1,B,11,6,0,0.64,36.54
456,50,Male,Rural,690,1,A,18,7,1,0.62,18.65
457,47,Male,Urban,781,0,A,10,17,2,0.55,112.85
458,54,Famale,Rural,734,1,A,25,9,2,0.09,160.85
459,40,Male,Urban,787,1,C,19,7,1,0.73,125.98
460,27,Male,Rural,399,0,C,12,17,2,0.6,119.24
461,22,Famale,Urban,181,0,C,38,3,1,0.66,139.32
462,53,Famale,Rural,186,1,A,44,16,2,0.9,74.53
463,51,Male,Rural,324,0,B,5,5,1,0.78,78.77
464,48,Male,Rural,115,1,C,36,18,2,0.78,69.71
465,27,Male,Rural,921,1,C,9,1,2,0.93,145.3
466,36,Male,Rural,457,1,A,34,4,0,0.99,40.71
467,49,Male,Rural,262,0,C,26,11,1,0.58,12.47
468,18,Famale,Urban,709,1,B,24,9,0,0.11,123.28
